instruction,input,output,task_type
"Проанализируй отзыв: определи тональность и извлеки именованные сущности. Верни JSON: {""sentiment"": ""..."", ""entities"": [...]}.","Сходил в кинотеатр Октябрь посмотреть новый фильм Marvel - ну такое себе, но попкорн вкусный был","{""sentiment"": ""NEUTRAL"", ""entities"": []}",combined
"Определи тональность отзыва. Верни один из ярлыков: POSITIVE, NEUTRAL, NEGATIVE. Сарказм считай NEGATIVE.","Обслуживание в банке ВТБ на Тверской оставляет желать лучшего, хотя менеджер Ольга старалась помочь",NEUTRAL,sentiment
"Извлеки именованные сущности из отзыва. Верни JSON: {""entities"": [{""text"": ""..."", ""type"": ""ORGANIZATION|PERSON|LOCATION|PRODUCT""}]}.","Обслуживание в банке ВТБ на Тверской оставляет желать лучшего, хотя менеджер Ольга старалась помочь","{""entities"": [{""text"": ""ВТБ"", ""type"": ""ORGANIZATION""}, {""text"": ""Тверской"", ""type"": ""LOCATION""}, {""text"": ""Ольга"", ""type"": ""PERSON""}]}",ner
"Проанализируй отзыв: определи тональность и извлеки именованные сущности. Верни JSON: {""sentiment"": ""..."", ""entities"": [...]}.","Обслуживание в банке ВТБ на Тверской оставляет желать лучшего, хотя менеджер Ольга старалась помочь","{""sentiment"": ""NEUTRAL"", ""entities"": [{""text"": ""ВТБ"", ""type"": ""ORGANIZATION""}, {""text"": ""Тверской"", ""type"": ""LOCATION""}, {""text"": ""Ольга"", ""type"": ""PERSON""}]}",combined
"Определи тональность отзыва. Верни один из ярлыков: POSITIVE, NEUTRAL, NEGATIVE. Сарказм считай NEGATIVE.","Купил новый Samsung Galaxy S 24 Ultra в DNS на Ленинском проспекте, консультант Дмитрий Иванович всё объяснил",POSITIVE,sentiment
"Извлеки именованные сущности из отзыва. Верни JSON: {""entities"": [{""text"": ""..."", ""type"": ""ORGANIZATION|PERSON|LOCATION|PRODUCT""}]}.","Купил новый Samsung Galaxy S 24 Ultra в DNS на Ленинском проспекте, консультант Дмитрий Иванович всё объяснил","{""entities"": [{""text"": ""Samsung Galaxy S 24 Ultra"", ""type"": ""PRODUCT""}, {""text"": ""DNS"", ""type"": ""ORGANIZATION""}, {""text"": ""Ленинском проспекте"", ""type"": ""LOCATION""}, {""text"": ""Дмитрий Иванович"", ""type"": ""PERSON""}]}",ner
"Проанализируй отзыв: определи тональность и извлеки именованные сущности. Верни JSON: {""sentiment"": ""..."", ""entities"": [...]}.","Купил новый Samsung Galaxy S 24 Ultra в DNS на Ленинском проспекте, консультант Дмитрий Иванович всё объяснил","{""sentiment"": ""POSITIVE"", ""entities"": [{""text"": ""Samsung Galaxy S 24 Ultra"", ""type"": ""PRODUCT""}, {""text"": ""DNS"", ""type"": ""ORGANIZATION""}, {""text"": ""Ленинском проспекте"", ""type"": ""LOCATION""}, {""text"": ""Дмитрий Иванович"", ""type"": ""PERSON""}]}",combined
"Определи тональность отзыва. Верни один из ярлыков: POSITIVE, NEUTRAL, NEGATIVE. Сарказм считай NEGATIVE.",Ужинал в ресторане White Rabbit на Смоленской площади - шеф-повар Владимир Мухин превзошел ожидания,POSITIVE,sentiment
"Извлеки именованные сущности из отзыва. Верни JSON: {""entities"": [{""text"": ""..."", ""type"": ""ORGANIZATION|PERSON|LOCATION|PRODUCT""}]}.",Ужинал в ресторане White Rabbit на Смоленской площади - шеф-повар Владимир Мухин превзошел ожидания,"{""entities"": [{""text"": ""White Rabbit"", ""type"": ""ORGANIZATION""}, {""text"": ""Смоленской площади"", ""type"": ""LOCATION""}, {""text"": ""Владимир Мухин"", ""type"": ""PERSON""}]}",ner
"Проанализируй отзыв: определи тональность и извлеки именованные сущности. Верни JSON: {""sentiment"": ""..."", ""entities"": [...]}.",Ужинал в ресторане White Rabbit на Смоленской площади - шеф-повар Владимир Мухин превзошел ожидания,"{""sentiment"": ""POSITIVE"", ""entities"": [{""text"": ""White Rabbit"", ""type"": ""ORGANIZATION""}, {""text"": ""Смоленской площади"", ""type"": ""LOCATION""}, {""text"": ""Владимир Мухин"", ""type"": ""PERSON""}]}",combined
"Определи тональность отзыва. Верни один из ярлыков: POSITIVE, NEUTRAL, NEGATIVE. Сарказм считай NEGATIVE.","норм телек LG купил в эльдорадо, продавец норм чел был, всё рассказал про функции",POSITIVE,sentiment
"Извлеки именованные сущности из отзыва. Верни JSON: {""entities"": [{""text"": ""..."", ""type"": ""ORGANIZATION|PERSON|LOCATION|PRODUCT""}]}.","норм телек LG купил в эльдорадо, продавец норм чел был, всё рассказал про функции","{""entities"": [{""text"": ""LG"", ""type"": ""PRODUCT""}, {""text"": ""эльдорадо"", ""type"": ""ORGANIZATION""}]}",ner
"Проанализируй отзыв: определи тональность и извлеки именованные сущности. Верни JSON: {""sentiment"": ""..."", ""entities"": [...]}.","норм телек LG купил в эльдорадо, продавец норм чел был, всё рассказал про функции","{""sentiment"": ""POSITIVE"", ""entities"": [{""text"": ""LG"", ""type"": ""PRODUCT""}, {""text"": ""эльдорадо"", ""type"": ""ORGANIZATION""}]}",combined
